text,label,notes
"Wave management tip: always slow push before roaming so the wave crashes under their tower while you're gone. This denies them CS and XP at the same time.",STRATEGY,
"How to play Jinx into poke lanes — start Doran's Shield, hold your W until they step up for CS, and only use Q for the extra range. Don't use chompers aggressively early.",STRATEGY,
"If you're playing a tank support, stand in front of your ADC during the laning phase. Your job is to eat skillshots, not to stand beside them.",STRATEGY,
"Macro tip: after you take first tower, rotate to dragon immediately. The objective is almost always more valuable than the gold you'd get from staying in lane.",STRATEGY,
"Vision control wins games at every elo. Before every objective fight, spend 60 seconds warding the river bushes and sweeping for enemy wards. Most teams skip this entirely.",STRATEGY,
"The best way to come back from behind as an ADC is to split push a side lane and force the enemy to respond. Don't group with your team when you're 0-4 — you're dead weight in a teamfight.",STRATEGY,
"Zed tip: always use your W shadow to escape, not to engage. New Zed players use W aggressively and then have no escape. Save it until they burn their CC.",STRATEGY,
"Laning phase tip: trade immediately after the enemy uses an ability with a long cooldown. If their support uses Thresh hook and misses, that's your window to all-in.",STRATEGY,
"How to freeze a wave: let the minions push to just outside your tower range, then last-hit only. Don't push the wave back. This denies the enemy CS without letting them reset.",STRATEGY,
"Jungle pathing guide for beginners: start bot side buff, clear three camps, then look at which side lane is winning. Always gank the winning lane — snowball advantages, don't play catch-up.",STRATEGY,
"The most underused summoner spell is Teleport for non-solo laners. Even as a support, TP lets you reset and get back to lane without losing plate gold. Consider it situationally.",STRATEGY,
"Itemization tip for ADCs this patch: rush Kraken Slayer into Runaan's Hurricane if the enemy has two or more tanks. The on-hit damage is worth more than crit in that matchup.",STRATEGY,
"How to dodge skillshots: don't move in a straight line when an enemy with a skill shot is targeting you. Walk unpredictably and bait the cast, then dodge after they commit.",STRATEGY,
"If you're behind as a mid laner, build Zhonya's as your second item. It buys you two seconds of safety in teamfights and lets your team peel for you.",STRATEGY,
"Thresh tip: your lantern is also a displacement tool. Drop it on an ally who's about to walk into a bad position and ping them to use it — it can save lives even without a flash.",STRATEGY,
"How to close out a game: when you're ahead, don't just farm. Group, take objectives, and force the enemy to respond. A 5k gold lead means nothing if you never convert it into towers.",STRATEGY,
"Warding guide for supports: the most valuable wards are not in the river — they're in the enemy jungle. Deep wards on their blue or red buff tell you where the jungler is.",STRATEGY,
